hotel_name,location,rate,facility,category
OYO 244 Griya Cemara Homestay,"Near Adisucipto International Airport, Yogyakarta",4.8,"Free Wifi, AC, TV, Seating Area, Power backup","Indonesia Standard Single, Indonesia Standard Twin, Indonesia Standard Double, Indonesia Suite Double"
OYO 90903 Chez Laelik Homestay,"111, Jl. Randubelang No.111, Jotawang, Bangunharjo, Sewon, Bantul, Daerah Istimewa Yogyakarta, Yogyakarta",NEW,"Window, AC, TV","Indonesia Standard Double, Deluxe Family Room, Indonesia Deluxe Double"
OYO 90253 DHelomi,Near Bandara Adisucipto / Stadion Maguwoharjo,4.7,"Free Wifi, Kitchen, AC, TV, Mini Fridge","Indonesia Deluxe Double, Indonesia Suite Double"
OYO 90283 Hotel Rajadani Ackni,"6, Purwokinanti, Pakualaman, Yogyakarta",NEW,"Free Wifi, Parking Facility, CCTV Cameras, Reception, Public Washroom","Indonesia Standard Twin, Deluxe Family Room, Indonesia Deluxe Double"
OYO 90619 Roemah Djogja 2,"Adisucipto Airport, Ambarukmo Plaza & Atmajaya University",NEW,"Window, Modern Wardrobe, Queen Sized Bed, AC, Attached Washroom","Indonesia Standard Double, Indonesia Suite Family, Indonesia Standard Twin"
OYO 1718 Homestay Wak Gobenk,"Near Jogja Bay, Yogyakarta",4.5,"Free Wifi, Queen Sized Bed, AC, TV, Reception",Indonesia Deluxe Double
OYO 2098 Homestay KK,"Near Mahameru St, Yogyakarta",NEW,"AC, TV","Indonesia Standard Single, Indonesia Standard Double, Indonesia Deluxe Double"
OYO 2118 Fh Stay,"Near Jogja Bay, Yogyakarta",4.6,"Free Wifi, King Sized Bed, Queen Sized Bed, Twin Single Bed, AC","Indonesia Standard Double, Delux Family, Indonesia Deluxe Double"
OYO 804 Ndalem Maharani Guest House,"Near Alun- Alun Utara Yogyakarta, Yogyakarta",NEW,"Queen Sized Bed, AC, TV, Parking Facility, CCTV Cameras","Indonesia Standard Double, Indonesia Deluxe Twin, Indonesia Deluxe Double, Indonesia Suite Double"
OYO 90095 Indah Homestay Syariah,Nearby Hartono Mall Yogyakarta,NEW,"Free Wifi, AC, TV, Parking Facility, CCTV Cameras",Indonesia Standard Double
OYO 3267 Omah Suryo,"Near Malioboro, Yogyakarta",4.6,"Kitchen, Reception, Fire-Extinguisher",Indonesia Standard Double
OYO 3263 House 140,Near Gembira Loka Zoo,4.5,"Parking Facility, Reception, Fire-Extinguisher","Indonesia Deluxe Double, Delux Family, Saver Double"
OYO 90986 Hotel Srikandi Adisucipto,"1, Kali Tirto, Kalitirto, Berbah, Sleman, Daerah Istimewa Yogyakarta, Indonesia, Yogyakarta",NEW,"Window, AC, TV","Indonesia Standard Double, Indonesia Standard Twin"
OYO 408 Graha Vege Jawi Syariah,Near Gembira Loka Zoo,NEW,"Free Wifi, AC, TV, Seating Area, Power backup","Indonesia Standard Single, Indonesia Standard Double"
OYO Flagship 90768 Endrayanti Inn Syariah,"8, Jl Ki Ageng Pemanahan No 8 Sorosutan, Umbulharjo, Kota Yogyakarta, Daerah Istimewa Yogyakarta, Yogyakarta",NEW,"Window, AC, TV","Indonesia Deluxe Double, Indonesia Deluxe Twin"
OYO 2454 Wanawiyata Homestay Syariah,"Near Adisucipto International Airport, Yogyakarta",NEW,"Free Wifi, Queen Sized Bed, AC, TV, Parking Facility","Indonesia Standard Double, Indonesia Standard Twin"
OYO 90910 Pondok Tamsis,"67, Kolam renang Hotel Wisanti, Jalan Taman Siswa, Wirogunan, Mergangsan, Kota Yogyakarta, Daerah Istimewa Yogyakarta, Indonesia, Yogyakarta",4.8,"Window, AC, TV, Daily Housekeeping","Indonesia Standard Double, Indonesia Deluxe Double"
OYO 1195 The Doctor's Guest House Syariah,"Near Hartono Mall, Yogyakarta",4.6,"Free Wifi, AC, TV, Parking Facility, CCTV Cameras","Indonesia Standard Single, Indonesia Deluxe Double, Indonesia Suite Double"
